Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AMAZON_TESTSUITE_LOGIN_001_SRIKAL,Chrome 121.0.0.0,,,31-01-2024 10:45:07,31-01-2024 10:45:42,35.698s,PASSED
,,,,,,,
Test Cases/TC_AMAZON_LOGIN_001_SRIKAL,Chrome 121.0.0.0,,,31-01-2024 10:45:07,31-01-2024 10:45:42,35.485s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 10:45:07,31-01-2024 10:45:07,0.029s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 10:45:07,31-01-2024 10:45:09,1.918s,PASSED
"navigateToUrl(""https://amazon.com"")",Chrome 121.0.0.0,,,31-01-2024 10:45:09,31-01-2024 10:45:12,2.856s,PASSED
refresh(),Chrome 121.0.0.0,,,31-01-2024 10:45:12,31-01-2024 10:45:12,0.524s,PASSED
"click(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/span_Hello, sign in""))",Chrome 121.0.0.0,,,31-01-2024 10:45:12,31-01-2024 10:45:30,17.489s,PASSED
"setText(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/input_Email or mobile phone number_email""), ""9347163977"")",Chrome 121.0.0.0,,,31-01-2024 10:45:30,31-01-2024 10:45:32,1.651s,PASSED
"click(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/input_Enter your email or mobile phone number_continue""))",Chrome 121.0.0.0,,,31-01-2024 10:45:32,31-01-2024 10:45:34,2.423s,PASSED
"setText(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/input_Forgot your password_password""), ""smartbridge@123"")",Chrome 121.0.0.0,,,31-01-2024 10:45:34,31-01-2024 10:45:35,1.356s,PASSED
"click(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,31-01-2024 10:45:35,31-01-2024 10:45:36,0.435s,PASSED
"verifyElementPresent(findTestObject(""AMAZON_PAGES/AMAZON_LOGIN_OR/PAGE_AMAZON_SIGN_IN/span_Hello, sign in""), 0)",Chrome 121.0.0.0,,,31-01-2024 10:45:36,31-01-2024 10:45:42,6.167s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 10:45:42,31-01-2024 10:45:42,0.478s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 10:45:42,31-01-2024 10:45:42,0.013s,PASSED
